BRNCH_NME,MonthNam,ProdGroup,TotalAccounts,EOPBalance,AvgMTLBalnce
CBD BELAPUR,Oct 2017,CA,35,673112.44972515,447997.71954346
CBD BELAPUR,Aug 2017,CA,14,281135,254869.89355469
NAVRANGPURA  AHMEDABAD,Sep 2017,CA,24,133725.80214834,176395.35842276
NAVRANGPURA  AHMEDABAD,Oct 2017,CA,16,347387.74021983,248249.00547481
NAVRANGPURA  AHMEDABAD,Aug 2017,CA,8,29002.299999952,23476.490112305
CHINCHWAD  PUNE BRANCH,Jul 2017,CA,54,2762074.3190308,2117423.5689392
CHINCHWAD  PUNE BRANCH,Jun 2017,CA,32,1645059.8200073,1805911.3899536
CHINCHWAD  PUNE BRANCH,May 2017,CA,27,2311605,1299941.9599609
NEW PALASIA,Sep 2017,CA,10,193660,157588.87890625
NEW PALASIA,Oct 2017,CA,9,450505,239700.22851563
CHEMBUR BRANCH,Sep 2017,CA,20,157226.60009766,315966.40307617
CHEMBUR BRANCH,Aug 2017,CA,8,96945.5,110641.85986328
CHEMBUR BRANCH,Oct 2017,CA,14,85530.899902344,134454.46008301
THANE BRANCH,Sep 2017,CA,14,62032.060058594,62319.959960938
THANE BRANCH,Aug 2017,CA,4,15000,13888.879882813
THANE BRANCH,Oct 2017,CA,10,35310.640136719,38892.539794922
THANE BRANCH,Jul 2017,CA,2,10000,460000
CHEMBUR BRANCH,Jul 2017,CA,3,76031.5,590056.70703125
CHEMBUR BRANCH,May 2017,CA,3,320065,214377.39257813
CHEMBUR BRANCH,Jun 2017,CA,3,30345.5,159089.08984375
CHEMBUR BRANCH,Apr 2017,CA,2,6106,13606
Varale,Oct 2017,CA,35,712663.66876221,714459.32958984
Varale,Sep 2017,CA,52,1037177.7387695,867993.62792969
Varale,Aug 2017,CA,16,140277,126850.55957031
Wadachiwadi,Sep 2017,CA,16,450987.08007813,430584.65609741
Wadachiwadi,Aug 2017,CA,6,135465.38000488,137344.56835938
Wadachiwadi,Oct 2017,CA,15,481150.76098633,287485.44580078
CHINCHWAD  PUNE BRANCH,Apr 2017,CA,7,105000,105000
T. NAGAR  CHENNAI,Oct 2017,CA,12,337425,266672.08984375
T. NAGAR  CHENNAI,Sep 2017,CA,12,712400,935112.80029297
T. NAGAR  CHENNAI,Aug 2017,CA,4,557000,758262.99560547
CHEMBUR BRANCH,Mar 2017,CA,2,2652212,1326106
CBD BELAPUR,Jul 2017,CA,7,167754,102138.69189453
CBD BELAPUR,Jun 2017,CA,7,106864,673331.62890625
CBD BELAPUR,May 2017,CA,4,32599,32268.16015625
MHALUNGE BUS STOP  PUNE,Sep 2017,CA,12,232989.3125,308088.4050293
MHALUNGE BUS STOP  PUNE,Jul 2017,CA,4,47490,42778.189941406
MHALUNGE BUS STOP  PUNE,Jun 2017,CA,2,23000,19000
MHALUNGE BUS STOP  PUNE,Oct 2017,CA,6,92025.3203125,155578.04515076
MHALUNGE BUS STOP  PUNE,May 2017,CA,1,10000,10000
MHALUNGE BUS STOP  PUNE,Apr 2017,CA,1,10000,10000
MHALUNGE BUS STOP  PUNE,Aug 2017,CA,6,134762.5234375,112117.88085938
SADASHIV PETH   PUNE,Oct 2017,CA,7,29994.23903656,21827.200218201
SADASHIV PETH   PUNE,Sep 2017,CA,10,93008.280075073,51568.700317383
SADASHIV PETH   PUNE,May 2017,CA,1,1946,7544.5
SADASHIV PETH   PUNE,Aug 2017,CA,5,56486.380027771,38446.890869141
SADASHIV PETH   PUNE,Jul 2017,CA,2,3134.1999511719,5655.6098632813
SADASHIV PETH   PUNE,Jun 2017,CA,1,37902.19921875,17168.009765625
KAMRAJ NAGAR  PUDUCHERRY,Oct 2017,CA,7,475895.69921875,93660.859375
Alandi,Sep 2017,CA,2,38000,61633.3203125
Alandi,Oct 2017,CA,6,20496.320007324,35598.030944824
Alandi,Aug 2017,CA,1,25000,36250
Wadachiwadi,Jul 2017,CA,3,55000,15500
KAMRAJ NAGAR  PUDUCHERRY,Sep 2017,CA,2,20000,20000
KAMRAJ NAGAR  PUDUCHERRY,Aug 2017,CA,1,0,0
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Oct 2017,CA,3,479,2849.9499816895
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Aug 2017,CA,3,5882,2083.200012207
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Sep 2017,CA,6,9958,14022.159667969
NAVRANGPURA  AHMEDABAD,Jun 2017,CA,1,51000,55900
NAVRANGPURA  AHMEDABAD,Jul 2017,CA,1,1000,25193.5390625
NERUL BRANCH,Oct 2017,CA,1,167000,44500
CBD BELAPUR,Apr 2017,CA,1,60079,19861.75
CBD BELAPUR,Apr 2017,FD,257,120279654.14063,120279654.14063
CBD BELAPUR,Oct 2017,FD,762,571122691.14063,571122691.14063
CBD BELAPUR,Feb 2017,FD,71,24002001,24002001
CBD BELAPUR,May 2017,FD,316,119942908.14063,119942908.14063
CBD BELAPUR,Jul 2017,FD,559,212267598.14063,212267598.14063
CBD BELAPUR,Jun 2017,FD,396,149834908.14063,149834908.14063
CBD BELAPUR,Sep 2017,FD,1444,1120498040.2813,1120498040.2813
CBD BELAPUR,Mar 2017,FD,185,106321613,106321613
CBD BELAPUR,Aug 2017,FD,619,245500010.14063,245500010.14063
T. NAGAR  CHENNAI,Sep 2017,FD,1278,582390532,582390532
T. NAGAR  CHENNAI,May 2017,FD,143,51488001,51488001
T. NAGAR  CHENNAI,Oct 2017,FD,691,226199329,226199329
T. NAGAR  CHENNAI,Jul 2017,FD,337,184892876,184892876
T. NAGAR  CHENNAI,Jun 2017,FD,209,97940224,97940224
T. NAGAR  CHENNAI,Aug 2017,FD,456,230194445,230194445
T. NAGAR  CHENNAI,Apr 2017,FD,47,15176000,15176000
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Sep 2017,FD,490,113838054,113838054
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Oct 2017,FD,282,68400027,68400027
SADASHIV PETH   PUNE,May 2017,FD,40,25460800,25460800
SADASHIV PETH   PUNE,Aug 2017,FD,82,160617800,160617800
SADASHIV PETH   PUNE,Jun 2017,FD,60,58555800,58555800
SADASHIV PETH   PUNE,Sep 2017,FD,166,321435600,321435600
SADASHIV PETH   PUNE,Jul 2017,FD,72,59917800,59917800
SADASHIV PETH   PUNE,Oct 2017,FD,85,160997800,160997800
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Jun 2017,FD,94,33310140,33310140
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Jul 2017,FD,160,51960140,51960140
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Aug 2017,FD,185,43273660,43273660
NEW PALASIA,Jul 2017,FD,100,26695566,26695566
