CustCount,YrMon_AsOnDate,BRNCH_NME,ProdGroup
7,Aug 2017,THANE BRANCH,RD
8,Oct 2017,THANE BRANCH,RD
3,Aug 2017,MHALUNGE BUS STOP  PUNE,RD
9,Oct 2017,SADASHIV PETH   PUNE,RD
5,Aug 2017,SADASHIV PETH   PUNE,RD
25,Oct 2017,T. NAGAR  CHENNAI,RD
14,Aug 2017,T. NAGAR  CHENNAI,RD
3,Oct 2017,Alandi,RD
3,Jul 2017,SADASHIV PETH   PUNE,RD
3,Oct 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,RD
2,Oct 2017,NERUL BRANCH,RD
3,Oct 2017,CHINCHWAD  PUNE BRANCH,RD
10,Jul 2017,T. NAGAR  CHENNAI,RD
7,Jun 2017,T. NAGAR  CHENNAI,RD
4,Apr 2017,CHEMBUR BRANCH,RD
4,May 2017,CHEMBUR BRANCH,RD
1,Mar 2017,CHEMBUR BRANCH,RD
4,Oct 2017,NEW PALASIA,RD
3,May 2017,NAVRANGPURA  AHMEDABAD,RD
2,Aug 2017,NEW PALASIA,RD
4,Jul 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,RD
3,Aug 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,RD
3,Jun 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,RD
1,Oct 2017,Varale,RD
1,Jun 2017,SADASHIV PETH   PUNE,RD
1,May 2017,SADASHIV PETH   PUNE,RD
3,May 2017,PULLIYAKULAM ROAD   COIMBATORE,RD
1,Apr 2017,PULLIYAKULAM ROAD   COIMBATORE,RD
1,Jun 2017,CHINCHWAD  PUNE BRANCH,RD
1,Jul 2017,CHINCHWAD  PUNE BRANCH,RD
1,Aug 2017,CHINCHWAD  PUNE BRANCH,RD
1,May 2017,CHINCHWAD  PUNE BRANCH,RD
1,Jul 2017,NEW PALASIA,RD
1,Aug 2017,CENTRAL BACK OFFICE  BELAPUR,CA
